연번,지정번호,업소명,업종,대표자,읍면동,행정동,소재지주소,데이터기준일자
17,천안-2012-061,청룡각,중식,노영숙,쌍용동,쌍용2동,천안시 서북구 충무로 143-8(쌍용동),2026-03-26
18,천안-2012-062,미헤어샵,이미용업,서숙자,쌍용동,쌍용2동,천안시 서북구 쌍용16길 24(쌍용동),2026-03-26
19,천안-2012-065,복우촌고기세상,한식,권현옥,쌍용동,쌍용2동,천안시 서북구 쌍용16길 40(쌍용동),2026-03-26
20,천안-2012-066,헤어스타,이미용업,최춘화,쌍용동,쌍용1동,천안시 서북구 미라2길 18-4(쌍용동),2026-03-26
21,천안-2012-069,컷팅클럽,이미용업,이영숙,쌍용동,쌍용2동,천안시 서북구 쌍용16길 38-1(쌍용동),2026-03-26
22,천안-2012-075,머리못하는집,이미용업,안영애,불당동,불당1동,천안시 서북구 불당17길 14(불당동),2026-03-26
23,천안-2014-087,전주칼국수,한식,배순희,성정동,성정2동,천안시 서북구 성정중5길 7-1(성정동),2026-03-26
24,천안-2014-092,두정숯불갈비,한식,김성숙,두정동,부성2동,천안시 서북구 부성1길 19(두정동),2026-03-26
25,천안-2016-101,정장군숯불구이전문점,한식,이상태,성환읍,성환읍,천안시 서북구 성환중앙로 70,2026-03-26
26,천안-2016-102,경북당,한식,권숙희,병천면,병천면,천안시 동남구 병천면 아우내장터2길 46,2026-03-26
27,천안-2016-105,맛짱김밥,한식,이경애,원성동,원성2동,천안시 동남구 원거리11길 42 (원성동),2026-03-26
28,천안-2016-108,은혜네손칼국수,한식,임복순,대흥동,중앙동,천안시 동남구 공설시장3길 10 (대흥동),2026-03-26
29,천안-2016-111,가화손만두 옛날통닭,한식,조가화,오룡동,중앙동,천안시 동남구 큰재빼기길 28(오룡동),2026-03-26
30,천안-2016-112,서산순대집,한식,배영란,사직동,중앙동,천안시 동남구 큰시장길 17(사직동),2026-03-26
31,천안-2016-114,서산집,한식,한명례,사직동,중앙동,천안시 동남구 사직로 18(사직동),2026-03-26
32,천안-2016-117,제이남성컷트전문점,이미용업,김성숙,쌍용동,쌍용2동,"천안시 서북구 월봉7길 77, 11동 103호(쌍용2동)",2026-03-26
33,천안-2016-118,세븐데이남성커트,이미용업,박미숙,두정동,부성1동,"천안시 서북구 두정로 212, 펜타폴리스 2차 107호(두정동)",2026-03-26
34,천안-2016-119,꽃샘미용실,이미용업,김민옥,입장면,입장면,"천안시 서북구 입장면 성진로 593, 나동 1층",2026-03-26
35,천안-2016-120,남성컷트오천냥클럽,이미용업,이대엽,신방동,신방동,"천안시 동남구 서부대로 257-3,105호(신방동)",2026-03-26
36,천안-2016-122,텐시헤어,이미용업,김민진,원성동,원성2동,천안시 동남구 원성2교길 29(원성동),2026-03-26
37,천안-2017-125,하나미장원,이미용업,김순임,쌍용동,쌍용2동,천안시 서북구 쌍용15길 3(쌍용동),2026-03-26
38,천안-2017-127,이승철헤어,이미용업,황한규,영성동,중앙동,천안시 동남구 천안천공원4길 4 (영성동),2026-03-26
39,천안-2017-130,남성커트오천,이미용업,신현기,쌍용동,쌍용2동,천안시 서북구 월봉로 66(쌍용동),2026-03-26
40,천안-2018-133,북경중화요리,중식,김민희,신부동,신안동,천안시 동남구 신부1길 6(신부동),2026-03-26
41,천안-2018-134,송영장어구이,한식,황명순,목천읍,목천읍,천안시 동남구 목천읍 충절로 876(목천읍),2026-03-26
42,천안-2018-136,오천헤어(5000헤어),이미용업,김진일,쌍용동,쌍용2동,천안시 서북구 월봉4로 32 (쌍용동),2026-03-26
43,천안-2018-137,별난생태나라,한식,강명순,쌍용동,쌍용1동,"천안시 서북구 봉서5길 10, 104호(쌍용동)",2026-03-26
44,천안-2018-138,정가네닭갈비,한식,정미현,안서동,신안동,천안시 동남구 안서1길 5-13(안서동),2026-03-26
45,천안-2018-139,일광밥집,한식,남원희,원성동,원성1동,천안시 동남구 원성16길 8(원성동),2026-03-26
46,천안-2018-140,장원식당,한식,전영식,신당동,부성1동,천안시 서북구 공대길 10(신당동),2026-03-26
47,천안-2019-141,올멋,이미용업,양희순,구성동,청룡동,천안시 동남구 충절로 263(구성동),2026-03-26
48,천안-2019-142,대호갈비,한식,김기수,대흥동,중앙동,천안시 동남구 공설시장2길 9-2 (대흥동),2026-03-26
